,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,073","1,306","1,341"
Expenses +,892,"1,068","1,107"
Operating Profit,182,238,233
OPM %,17%,18%,17%
Other Income +,10,14,18
Interest,1,2,4
Depreciation,34,52,59
Profit before tax,156,199,190
Tax %,15%,25%,25%
Net Profit +,132,149,142
EPS in Rs,27.73,30.94,29.76
Dividend Payout %,13%,11%,12%
