,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,409,398,419,564,697,491,472,500,602,524,519,606,701
Expenses +,315,298,325,408,495,377,373,424,492,423,411,459,522
Operating Profit,94,99,94,156,202,114,98,76,110,100,107,147,179
OPM %,23%,25%,22%,28%,29%,23%,21%,15%,18%,19%,21%,24%,26%
Other Income +,12,11,11,10,4,8,23,64,13,10,11,10,12
Interest,1,0,4,9,14,19,20,18,17,16,14,20,28
Depreciation,12,12,18,25,8,21,24,25,26,27,28,30,35
Profit before tax,94,97,83,131,184,82,77,97,79,68,77,108,127
Tax %,20%,24%,30%,19%,26%,25%,22%,20%,11%,25%,23%,23%,25%
Net Profit +,75,74,58,107,136,62,61,78,70,51,59,84,95
EPS in Rs,15.17,15.02,11.67,21.50,27.50,12.41,12.22,15.74,14.19,10.32,11.86,16.86,19.15
Raw PDF,,,,,,,,,,,,,
