,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,065","1,106",796,"1,185","1,535","1,351",955,"1,365","1,708","1,528",902,"1,265","1,361"
Expenses +,872,907,635,947,"1,238","1,070",734,"1,136","1,376","1,216",683,978,"1,121"
Operating Profit,192,199,161,238,297,281,220,228,333,312,220,287,239
OPM %,18%,18%,20%,20%,19%,21%,23%,17%,19%,20%,24%,23%,18%
Other Income +,3,4,4,4,7,6,3,22,6,4,4,4,20
Interest,34,34,33,40,47,52,59,57,48,57,62,75,71
Depreciation,22,20,24,26,26,31,35,37,38,35,36,36,37
Profit before tax,139,148,108,177,231,203,129,156,252,225,125,180,151
Tax %,25%,26%,24%,26%,26%,26%,26%,35%,25%,28%,36%,36%,3%
Net Profit +,104,109,82,131,171,150,96,102,190,163,81,115,147
EPS in Rs,15.95,16.79,12.57,20.08,26.23,23.08,14.75,15.66,29.16,24.95,12.39,17.67,22.55
Raw PDF,,,,,,,,,,,,,
