,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,081","2,510","2,445","2,324","2,095","2,510","2,571","2,345","2,134","2,351","2,449","2,450","2,134"
Expenses +,"1,912","2,348","2,295","2,187","2,020","2,317","2,369","2,186","1,986","2,125","2,225","2,230","1,987"
Operating Profit,169,162,150,136,75,193,201,159,148,226,223,220,147
OPM %,8%,6%,6%,6%,4%,8%,8%,7%,7%,10%,9%,9%,7%
Other Income +,69,20,13,84,23,32,20,21,20,25,25,22,25
Interest,18,22,26,25,27,29,28,25,25,30,40,34,29
Depreciation,46,45,46,47,48,53,53,53,56,55,58,57,56
Profit before tax,174,116,92,148,23,142,141,102,87,166,150,151,87
Tax %,20%,24%,24%,23%,-4%,25%,26%,19%,25%,21%,36%,27%,24%
Net Profit +,140,88,70,115,23,107,104,83,65,132,96,110,66
EPS in Rs,6.37,4.30,3.73,6.06,1.61,5.48,5.48,4.78,2.97,7.03,5.84,5.80,3.68
Raw PDF,,,,,,,,,,,,,
