,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,234,323,115,181,231,345,188,227,252,406,163,262,238
Expenses +,171,201,82,122,166,244,146,191,216,325,140,213,186
Operating Profit,63,122,33,59,66,100,42,36,36,80,23,49,52
OPM %,27%,38%,29%,32%,28%,29%,22%,16%,14%,20%,14%,19%,22%
Other Income +,5,16,7,9,9,12,8,8,7,8,8,9,7
Interest,3,15,5,6,7,8,9,9,9,8,7,8,7
Depreciation,7,12,12,13,14,14,14,14,14,15,15,16,16
Profit before tax,58,111,23,49,54,91,27,21,19,65,9,34,36
Tax %,26%,27%,24%,31%,28%,27%,30%,33%,33%,28%,42%,30%,30%
Net Profit +,43,81,18,34,39,66,19,14,13,46,5,24,26
EPS in Rs,2.29,4.33,0.95,1.79,2.06,3.54,1.00,0.74,0.68,2.47,0.28,1.27,1.36
Raw PDF,,,,,,,,,,,,,
