,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,854","1,811","1,663","1,774","2,112","1,942","1,838","1,728","2,066","1,763","1,685","1,821","2,102"
Expenses +,"1,716","1,690","1,631","1,714","1,965","1,791","1,745","1,595","1,955","1,631","1,639","1,768","1,915"
Operating Profit,138,121,33,60,147,152,92,134,111,132,46,52,188
OPM %,7%,7%,2%,3%,7%,8%,5%,8%,5%,8%,3%,3%,9%
Other Income +,27,8,2,14,13,17,260,6,9,18,17,91,167
Interest,43,42,44,49,50,48,44,49,51,55,57,56,55
Depreciation,94,94,90,101,105,93,95,99,126,112,118,121,133
Profit before tax,28,-7,-100,-77,6,27,214,-9,-58,-16,-112,-34,166
Tax %,28%,119%,-17%,-18%,35%,24%,14%,28%,-47%,14%,-7%,-237%,27%
Net Profit +,20,-16,-83,-63,4,21,183,-11,-30,-18,-104,46,121
EPS in Rs,0.59,0.19,-1.32,-1.06,0.14,0.36,3.63,-0.07,-0.32,-0.15,-1.78,0.96,2.57
Raw PDF,,,,,,,,,,,,,
