,Sep 2023,Dec 2023,Jun 2024,Sep 2024,Dec 2024
Sales +,60.05,51.82,60.73,66.75,59.51
Expenses +,39.22,36.50,40.12,43.55,41.26
Operating Profit,20.83,15.32,20.61,23.20,18.25
OPM %,34.69%,29.56%,33.94%,34.76%,30.67%
Other Income +,0.56,0.85,1.12,1.31,0.60
Interest,2.48,2.03,2.22,2.13,1.98
Depreciation,7.95,7.92,8.99,8.75,8.83
Profit before tax,10.96,6.22,10.52,13.63,8.04
Tax %,24.00%,27.01%,27.00%,25.53%,25.62%
Net Profit +,8.34,4.53,7.67,10.15,5.98
EPS in Rs,121.88,67.39,1.84,2.40,1.18
Raw PDF,,,,,
