,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,590,698,773,"1,094","1,429","1,625","2,061"
Expenses +,535,601,582,836,"1,070","1,289","1,706"
Operating Profit,55,97,191,258,359,336,354
OPM %,9%,14%,25%,24%,25%,21%,17%
Other Income +,-1,5,24,31,15,99,89
Interest,16,8,6,10,22,42,99
Depreciation,25,20,23,33,42,58,89
Profit before tax,13,74,186,246,310,335,255
Tax %,-9%,3%,13%,26%,25%,26%,28%
Net Profit +,14,72,162,181,231,248,185
EPS in Rs,3.82,14.52,11.06,12.34,15.73,16.31,12.13
Dividend Payout %,0%,0%,26%,30%,34%,35%,49%
