,"Mar 2022
            
              8m",Mar 2023,Mar 2024,Mar 2025
Sales +,923,"4,218","4,754","5,570"
Expenses +,730,"3,179","3,665","4,272"
Operating Profit,193,"1,039","1,088","1,298"
OPM %,21%,25%,23%,23%
Other Income +,18,5,28,56
Interest,65,215,185,127
Depreciation,147,644,689,467
Profit before tax,-2,186,242,760
Tax %,152%,23%,6%,29%
Net Profit +,-5,144,228,539
EPS in Rs,-0.02,0.75,0.53,1.15
Dividend Payout %,0%,0%,0%,0%
