,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"6,438","4,641","4,909","5,012","5,720","5,572","4,914","4,689","6,714","4,074","4,855","4,567","6,427"
Expenses +,"6,029","4,360","4,593","4,736","5,345","5,222","4,616","4,440","6,258","3,892","4,599","4,328","5,994"
Operating Profit,408,281,316,276,374,349,298,249,456,182,256,239,433
OPM %,6%,6%,6%,6%,7%,6%,6%,5%,7%,4%,5%,5%,7%
Other Income +,225,256,301,325,274,289,320,358,323,264,281,326,239
Interest,146,157,131,147,146,146,133,139,150,137,141,145,117
Depreciation,7,6,5,6,6,6,6,5,4,7,7,7,9
Profit before tax,480,373,481,448,496,487,480,463,625,302,389,413,546
Tax %,21%,20%,21%,15%,28%,30%,18%,22%,23%,26%,26%,25%,16%
Net Profit +,378,298,381,382,359,343,394,359,478,224,287,312,459
EPS in Rs,1.81,1.43,1.83,1.83,1.72,1.64,1.89,1.72,2.30,1.07,1.38,1.49,2.20
Raw PDF,,,,,,,,,,,,,
