,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,228,207,196,194,194,190,190,204,176,161,163,158,151
Expenses +,61,25,17,36,48,34,14,32,64,12,15,-2,7
Operating Profit,167,182,179,158,146,156,177,172,113,149,148,160,144
OPM %,73%,88%,91%,81%,75%,82%,93%,84%,64%,92%,91%,101%,96%
Other Income +,3,0,0,0,6,3,12,0,0,0,0,0,5
Interest,135,113,107,108,105,108,107,103,92,88,83,78,72
Depreciation,2,1,2,2,2,2,2,2,2,2,2,2,2
Profit before tax,34,68,70,49,45,49,80,67,19,59,63,81,75
Tax %,26%,25%,25%,26%,20%,25%,25%,25%,28%,25%,25%,17%,23%
Net Profit +,25,51,53,36,36,37,60,50,14,44,47,67,58
EPS in Rs,0.39,0.79,0.82,0.56,0.57,0.57,0.93,0.78,0.22,0.69,0.74,1.05,0.91
Raw PDF,,,,,,,,,,,,,
