,Mar 2015,Mar 2016,Mar 2017,Mar 2024,Mar 2025
Sales +,100,233,268,987,"1,182"
Expenses +,92,209,236,890,"1,086"
Operating Profit,8,24,32,97,96
OPM %,8%,10%,12%,10%,8%
Other Income +,9,0,0,4,5
Interest,3,5,4,6,11
Depreciation,2,4,5,30,45
Profit before tax,13,15,24,65,45
Tax %,9%,35%,35%,34%,25%
Net Profit +,12,10,16,43,34
EPS in Rs,3.87,3.34,5.27,10.88,7.41
Dividend Payout %,0%,0%,0%,9%,9%
