,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"9,633","9,497","9,956","9,782","10,243","11,104","11,688","12,052","12,677","13,079","13,682","14,272","15,334"
Expenses +,"1,440","1,175",794,45,-149,332,-492,240,-425,717,97,263,"1,084"
Operating Profit,"8,193","8,323","9,162","9,737","10,392","10,771","12,180","11,812","13,102","12,362","13,585","14,009","14,250"
OPM %,85%,88%,92%,100%,101%,97%,104%,98%,103%,95%,99%,98%,93%
Other Income +,23,9,8,14,12,4,13,20,29,14,24,15,15
Interest,"5,353","5,376","5,728","6,134","6,496","7,049","7,350","7,654","7,896","8,020","8,506","8,837","8,768"
Depreciation,6,6,6,6,6,6,6,6,6,6,6,6,6
Profit before tax,"2,857","2,950","3,436","3,610","3,901","3,721","4,838","4,172","5,229","4,349","5,097","5,181","5,490"
Tax %,19%,17%,20%,19%,21%,20%,22%,21%,22%,20%,21%,21%,21%
Net Profit +,"2,301","2,454","2,732","2,915","3,065","2,968","3,790","3,308","4,079","3,460","4,038","4,076","4,310"
EPS in Rs,8.74,9.32,10.38,11.07,11.64,11.27,14.39,12.56,15.49,13.14,15.33,15.48,16.37
Raw PDF,,,,,,,,,,,,,
