,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,937","1,826",750,"1,348","3,003","1,702",927,"1,295","2,805","2,401","1,685","2,133","3,754"
Expenses +,"1,811","1,726",714,"1,270","2,799","1,570",868,"1,216","2,586","2,211","1,574","1,984","3,472"
Operating Profit,125,99,37,79,204,132,60,78,220,191,111,150,282
OPM %,6%,5%,5%,6%,7%,8%,6%,6%,8%,8%,7%,7%,8%
Other Income +,9,13,12,9,19,19,13,5,18,21,18,16,19
Interest,19,21,24,29,37,45,37,37,48,52,49,54,55
Depreciation,30,32,32,36,39,43,45,47,51,55,57,59,58
Profit before tax,86,59,-7,22,146,63,-9,0,138,104,24,53,189
Tax %,31%,27%,-69%,32%,26%,26%,-40%,270%,28%,28%,11%,30%,37%
Net Profit +,59,43,-2,15,108,47,-6,-1,99,75,21,37,118
EPS in Rs,16.98,12.48,-0.88,4.20,30.86,13.55,-2.06,-0.14,28.10,21.48,5.70,10.61,34.32
Raw PDF,,,,,,,,,,,,,
