,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,837,727,800,852,876,854,694,771,959,864,832,907,"1,195"
Expenses +,785,674,749,791,811,793,650,716,894,810,783,855,"1,129"
Operating Profit,52,52,51,61,65,61,44,54,65,54,49,52,66
OPM %,6%,7%,6%,7%,7%,7%,6%,7%,7%,6%,6%,6%,6%
Other Income +,2,4,2,-0,2,1,0,3,1,3,1,-1,3
Interest,9,8,12,15,14,10,11,14,15,14,16,18,20
Depreciation,17,21,21,22,22,23,23,25,26,27,29,32,34
Profit before tax,28,26,20,24,31,29,10,19,25,15,5,0,16
Tax %,32%,26%,8%,30%,18%,17%,27%,-10%,27%,29%,27%,31%,26%
Net Profit +,19,19,18,17,26,24,7,20,18,11,3,0,12
EPS in Rs,5.17,5.12,4.87,4.57,6.54,6.07,1.75,5.00,4.44,2.56,0.77,-0.00,2.75
Raw PDF,,,,,,,,,,,,,
