,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"1,214","2,104","2,235","2,151","2,087","2,154","2,101","1,235","1,873","1,837","1,601","1,750","1,707"
Expenses +,"1,065","1,960","2,151","1,982","1,871","1,952","1,905","1,027","1,662","1,530","1,369","1,526","1,474"
Operating Profit,149,143,85,169,216,203,196,208,212,307,232,224,233
OPM %,12%,7%,4%,8%,10%,9%,9%,17%,11%,17%,15%,13%,14%
Other Income +,8,14,86,18,19,64,37,44,45,63,44,39,60
Interest,4,10,10,25,27,25,30,27,30,29,31,30,51
Depreciation,21,21,29,33,34,29,33,34,34,33,37,37,37
Profit before tax,132,126,131,128,174,212,170,192,192,307,208,196,204
Tax %,17%,19%,18%,21%,18%,25%,22%,22%,21%,23%,24%,22%,22%
Net Profit +,109,102,107,101,143,159,133,150,152,237,158,152,160
EPS in Rs,2.90,2.70,2.95,2.66,3.57,4.01,3.30,3.62,3.71,5.59,3.75,3.59,3.54
Raw PDF,,,,,,,,,,,,,
