,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,216,263,284,277,274,307,317,306,315,348,350,325,334
Expenses +,188,226,241,240,241,259,267,259,266,281,286,273,272
Operating Profit,28,37,44,37,33,47,50,47,48,67,64,52,61
OPM %,13%,14%,15%,13%,12%,15%,16%,15%,15%,19%,18%,16%,18%
Other Income +,2,1,1,3,5,4,4,4,5,5,6,5,6
Interest,1,1,1,1,1,1,1,1,2,2,2,2,1
Depreciation,9,10,10,10,10,10,10,10,10,11,11,11,11
Profit before tax,20,27,34,29,27,40,44,41,42,60,57,45,55
Tax %,24%,24%,26%,29%,27%,24%,25%,28%,25%,25%,26%,26%,26%
Net Profit +,15,20,25,21,20,30,33,29,31,45,42,33,41
EPS in Rs,1.66,2.21,2.74,2.28,2.16,3.33,3.58,3.21,3.40,4.88,4.63,3.58,4.47
Raw PDF,,,,,,,,,,,,,
