,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,87,94,93,99,103,109,103,105,115,124,115,126,121
Expenses +,52,55,61,63,67,71,68,71,84,74,80,85,79
Operating Profit,35,39,32,36,36,38,35,34,30,50,35,41,42
OPM %,40%,41%,34%,36%,35%,35%,34%,32%,26%,40%,31%,33%,35%
Other Income +,9,11,7,13,15,16,18,16,17,24,18,20,19
Interest,0,0,0,0,0,0,0,0,3,7,2,0,1
Depreciation,2,2,2,2,3,3,2,3,4,4,4,4,4
Profit before tax,41,47,36,46,48,51,50,47,41,62,47,57,56
Tax %,25%,28%,41%,19%,18%,24%,18%,32%,20%,24%,24%,35%,24%
Net Profit +,31,34,22,37,39,39,41,32,32,47,36,37,42
EPS in Rs,32.00,34.62,22.02,38.06,40.29,39.76,41.77,32.92,33.31,48.56,36.80,38.05,43.55
Raw PDF,,,,,,,,,,,,,
