,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,280","1,080","1,113",981,"1,492","1,390","1,539","1,230","1,434","1,422","1,298","1,192","1,504"
Expenses +,950,"1,036","1,129",901,"1,088","1,226","1,375","1,117","1,090","1,255","1,249","1,068","1,138"
Operating Profit,330,44,-16,80,404,163,165,113,345,166,49,124,365
OPM %,26%,4%,-1%,8%,27%,12%,11%,9%,24%,12%,4%,10%,24%
Other Income +,11,16,15,23,22,18,116,60,12,15,73,16,20
Interest,8,14,8,6,21,34,17,8,25,36,20,7,30
Depreciation,28,28,28,33,40,41,41,42,43,43,43,44,43
Profit before tax,304,18,-37,64,364,107,223,123,289,102,59,89,312
Tax %,21%,31%,-22%,27%,30%,31%,25%,26%,30%,31%,-14%,21%,26%
Net Profit +,240,12,-29,46,254,74,166,91,203,70,67,70,229
EPS in Rs,11.79,0.61,-1.42,2.27,12.61,3.64,8.24,4.53,10.08,3.48,3.33,3.49,11.35
Raw PDF,,,,,,,,,,,,,
