,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,304,239,251,238,227,219,199,198,192,209,184,174,170
Expenses +,331,393,330,349,357,345,354,331,318,284,295,294,298
Operating Profit,-28,-154,-80,-111,-129,-126,-154,-133,-126,-75,-111,-119,-128
OPM %,-9%,-65%,-32%,-47%,-57%,-57%,-77%,-67%,-65%,-36%,-60%,-68%,-75%
Other Income +,113,281,150,138,127,199,113,175,144,145,199,153,170
Interest,552,538,540,581,592,641,645,665,691,689,705,769,728
Depreciation,192,187,183,184,181,181,166,170,166,164,156,155,150
Profit before tax,-659,-598,-653,-738,-776,-749,-852,-793,-839,-784,-773,-890,-836
Tax %,-0%,0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%
Net Profit +,-659,-601,-653,-738,-776,-749,-852,-793,-839,-784,-773,-890,-836
EPS in Rs,-10.46,-9.53,-10.37,-11.71,-12.31,-11.88,-13.52,-12.58,-13.32,-12.44,-12.28,-14.13,-13.27
Raw PDF,,,,,,,,,,,,,
