,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,880,832,948,945,969,910,"1,002",975,"1,029","1,007","1,086","1,014","1,105"
Expenses +,747,708,800,796,815,751,821,792,838,822,868,813,877
Operating Profit,133,123,148,148,155,159,181,183,191,186,219,202,228
OPM %,15%,15%,16%,16%,16%,17%,18%,19%,19%,18%,20%,20%,21%
Other Income +,2,3,7,4,27,11,11,24,-44,6,14,13,11
Interest,11,12,16,19,21,24,31,29,32,29,29,27,28
Depreciation,63,65,66,70,79,80,84,84,85,84,85,86,88
Profit before tax,61,49,72,64,82,66,78,94,30,80,118,100,123
Tax %,18%,29%,34%,2%,-3%,16%,33%,7%,50%,17%,25%,6%,6%
Net Profit +,50,35,48,63,85,56,52,87,15,66,88,94,116
EPS in Rs,1.54,1.06,1.46,1.97,2.65,1.71,1.59,2.71,0.70,2.02,2.73,2.93,3.58
Raw PDF,,,,,,,,,,,,,
