,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,18,22,37,31,37,37,32,39,49,51,53,58,60
Expenses +,15,17,26,20,24,26,22,28,25,30,33,32,33
Operating Profit,3,5,11,10,13,11,10,12,24,20,20,26,27
OPM %,16%,25%,30%,34%,36%,30%,31%,30%,49%,40%,37%,46%,45%
Other Income +,4,1,59,2,-9,3,48,2,2,2,66,4,3
Interest,0,0,0,0,0,0,0,0,0,0,1,1,1
Depreciation,1,2,2,2,2,2,2,3,1,2,3,3,3
Profit before tax,6,4,68,11,3,12,56,11,24,19,82,27,27
Tax %,20%,11%,10%,2%,-55%,14%,8%,9%,12%,10%,6%,5%,12%
Net Profit +,1,-19,115,46,48,44,91,61,72,56,121,65,68
EPS in Rs,0.04,-0.72,4.49,1.78,1.88,1.73,3.53,2.39,2.81,2.17,4.71,2.55,2.67
Raw PDF,,,,,,,,,,,,,
