,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,89.45,92.39,59.24,54.93,122.45,142.23,143.28,129.18,140.70,147.82,175.82,170.99,133.04
Expenses +,117.43,93.01,70.79,136.37,108.67,129.33,130.51,120.69,142.56,140.98,151.61,163.31,129.63
Operating Profit,-27.98,-0.62,-11.55,-81.44,13.78,12.90,12.77,8.49,-1.86,6.84,24.21,7.68,3.41
OPM %,-31.28%,-0.67%,-19.50%,-148.26%,11.25%,9.07%,8.91%,6.57%,-1.32%,4.63%,13.77%,4.49%,2.56%
Other Income +,-7.51,-61.56,9.31,136.55,4.42,7.90,2.58,9.60,20.11,13.95,2.38,10.96,12.82
Interest,29.82,28.79,27.23,11.55,12.28,9.34,9.08,11.11,11.40,12.79,12.61,10.45,9.42
Depreciation,1.33,1.60,1.37,1.36,2.03,1.39,1.34,1.33,1.32,1.34,1.30,1.29,1.22
Profit before tax,-66.64,-92.57,-30.84,42.20,3.89,10.07,4.93,5.65,5.53,6.66,12.68,6.90,5.59
Tax %,0.00%,46.21%,0.00%,0.00%,0.00%,300.10%,0.00%,0.00%,0.00%,0.00%,36.28%,66.67%,20.39%
Net Profit +,-66.64,-135.35,-30.85,42.20,3.89,-20.15,4.93,5.65,5.53,6.67,8.08,2.29,4.44
EPS in Rs,-0.48,-0.97,-0.17,0.22,0.02,-0.11,0.03,0.03,0.03,0.03,0.04,0.01,0.02
Raw PDF,,,,,,,,,,,,,
