,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,444,453,472,488,501,512,544,582,627,599,625,581,619
Expenses +,328,329,337,353,357,364,398,432,472,447,472,422,457
Operating Profit,116,124,134,135,144,148,146,151,155,152,153,159,162
OPM %,26%,27%,28%,28%,29%,29%,27%,26%,25%,25%,24%,27%,26%
Other Income +,3,2,3,5,5,7,8,8,11,12,14,12,14
Interest,4,4,5,5,6,4,4,4,4,4,5,5,5
Depreciation,27,30,34,32,35,36,36,38,40,39,39,41,43
Profit before tax,87,92,98,103,108,114,114,117,123,121,123,125,129
Tax %,26%,25%,26%,27%,26%,26%,26%,26%,26%,25%,26%,26%,24%
Net Profit +,64,69,73,76,80,84,84,87,91,91,91,93,98
EPS in Rs,4.18,4.49,4.71,4.91,5.18,5.46,5.39,5.56,5.62,5.58,5.57,5.71,5.98
Raw PDF,,,,,,,,,,,,,
