,Mar 2024,Mar 2025
Sales +,104,135
Expenses +,89,108
Operating Profit,14,26
OPM %,14%,20%
Other Income +,6,5
Interest,0,1
Depreciation,2,7
Profit before tax,17,24
Tax %,25%,27%
Net Profit +,13,18
EPS in Rs,2.23,1.71
Dividend Payout %,0%,0%
