,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,499,533,556,538,562,455,478,472,525,651,626,645,628
Expenses +,324,345,375,371,408,360,370,349,369,475,448,463,454
Operating Profit,175,187,180,167,155,95,108,123,155,176,178,183,173
OPM %,35%,35%,32%,31%,28%,21%,23%,26%,30%,27%,28%,28%,28%
Other Income +,2,2,2,-0,5,2,1,2,2,2,6,4,4
Interest,12,11,14,21,19,18,21,20,14,14,27,-0,12
Depreciation,21,22,26,31,30,31,32,31,30,33,32,33,34
Profit before tax,144,156,142,114,110,47,56,74,113,131,125,154,131
Tax %,31%,31%,35%,33%,30%,34%,32%,34%,32%,34%,35%,33%,34%
Net Profit +,99,108,92,77,77,32,38,49,77,86,81,104,87
EPS in Rs,23.85,25.94,22.04,18.58,18.47,7.58,9.14,11.81,18.60,20.67,19.57,24.02,20.14
Raw PDF,,,,,,,,,,,,,
