,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,445,626,548,553,591,634,575,607,604,640,557,513,562
Expenses +,385,539,488,497,525,554,502,528,518,551,482,447,485
Operating Profit,60,87,60,56,66,79,73,79,86,89,75,66,77
OPM %,13%,14%,11%,10%,11%,13%,13%,13%,14%,14%,13%,13%,14%
Other Income +,1,1,2,7,1,2,1,1,1,1,1,1,1
Interest,0,1,1,1,1,1,0,1,1,1,1,1,1
Depreciation,9,11,10,10,10,11,11,11,12,10,11,11,14
Profit before tax,51,77,51,52,56,71,63,69,74,78,65,56,63
Tax %,27%,26%,26%,28%,27%,26%,27%,27%,26%,30%,28%,29%,31%
Net Profit +,37,57,37,37,41,52,46,50,55,55,46,40,44
EPS in Rs,0.94,1.43,0.94,0.94,1.03,1.32,1.14,1.26,1.38,1.37,1.16,1.00,1.10
Raw PDF,,,,,,,,,,,,,
