,Mar 2025
Sales +,846
Expenses +,711
Operating Profit,135
OPM %,16%
Other Income +,24
Interest,9
Depreciation,10
Profit before tax,141
Tax %,23%
Net Profit +,105
EPS in Rs,0.70
Dividend Payout %,28%
