,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,871","1,391","1,582","1,707","1,980","3,282","4,624"
Expenses +,"1,689","1,251","1,436","1,542","1,787","2,961","4,173"
Operating Profit,182,140,145,165,193,321,452
OPM %,10%,10%,9%,10%,10%,10%,10%
Other Income +,1,2,4,4,8,15,23
Interest,102,85,74,94,105,155,213
Depreciation,38,38,45,48,47,53,63
Profit before tax,43,18,30,27,50,128,199
Tax %,27%,-129%,30%,6%,29%,36%,25%
Net Profit +,31,41,21,25,36,82,149
EPS in Rs,2.76,3.65,1.90,2.23,3.15,7.23,13.24
Dividend Payout %,8%,2%,5%,4%,3%,1%,1%
