,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,121,151,190,138,211,200,245,206,233,245
Expenses +,78,109,143,106,154,153,178,156,165,174
Operating Profit,43,43,48,32,57,47,68,50,69,71
OPM %,36%,28%,25%,23%,27%,23%,28%,24%,29%,29%
Other Income +,2,1,2,1,8,6,1,2,2,3
Interest,1,1,1,2,2,1,2,1,1,1
Depreciation,1,1,1,1,1,1,3,2,2,3
Profit before tax,43,42,48,31,62,51,64,49,67,70
Tax %,31%,28%,25%,25%,26%,26%,26%,25%,26%,27%
Net Profit +,30,30,36,23,45,37,47,37,50,51
EPS in Rs,,,,,8.15,6.72,8.53,6.68,8.94,9.09
Raw PDF,,,,,,,,,,
