,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"2,201","2,203","2,286","2,497","2,643","2,855","3,008","3,191","3,339","3,497","3,531","3,537","3,477"
Interest,"1,000","1,062","1,111","1,221","1,285","1,434","1,533","1,645","1,739","1,796","1,916","1,951","1,913"
Expenses +,"1,490","1,471","1,503","1,610","1,651","1,698","2,063","2,004","1,990","2,000","2,239","2,837","2,472"
Financing Profit,-289,-330,-328,-334,-293,-276,-588,-458,-390,-300,-624,"-1,251",-908
Financing Margin %,-13%,-15%,-14%,-13%,-11%,-10%,-20%,-14%,-12%,-9%,-18%,-35%,-26%
Other Income +,513,614,585,624,684,694,713,777,876,775,928,"1,074","1,001"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,224,284,257,290,390,418,125,320,486,475,304,-177,93
Tax %,26%,26%,27%,23%,24%,24%,-165%,23%,25%,26%,24%,-127%,7%
Net Profit +,165,209,188,225,299,319,331,245,364,351,232,47,87
EPS in Rs,2.75,3.48,3.13,3.75,4.98,5.33,5.51,4.06,6.02,5.79,3.81,0.78,1.43
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
