,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,396","2,692","2,136","2,192","2,461","2,478","1,883","2,134","2,485","2,030","1,394","1,694","2,276"
Expenses +,"1,887","2,005","1,535","1,597","1,791","1,871","1,416","1,626","1,945","1,662","1,041","1,325","1,730"
Operating Profit,509,687,601,595,670,607,467,508,540,368,353,370,545
OPM %,21%,26%,28%,27%,27%,25%,25%,24%,22%,18%,25%,22%,24%
Other Income +,18,14,25,17,31,21,26,25,343,20,82,154,136
Interest,108,97,108,117,121,137,145,155,128,103,112,113,121
Depreciation,62,63,62,61,59,60,62,61,61,63,63,61,57
Profit before tax,357,540,457,434,521,432,287,316,694,222,260,350,504
Tax %,23%,25%,26%,25%,25%,28%,24%,23%,20%,30%,26%,25%,20%
Net Profit +,277,405,336,324,390,310,217,243,553,156,194,263,403
EPS in Rs,28.60,41.87,34.77,33.47,40.30,32.05,22.46,25.10,57.29,16.08,19.98,27.05,41.75
Raw PDF,,,,,,,,,,,,,
