,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"3,699","4,110","4,957","5,576","6,235","4,684","4,043","4,155","4,904","3,880","4,396","4,290","4,518"
Expenses +,"3,472","3,736","4,523","5,171","5,797","4,499","3,914","4,050","4,819","3,687","4,280","4,088","4,339"
Operating Profit,227,374,433,405,438,185,129,105,84,193,116,202,179
OPM %,6%,9%,9%,7%,7%,4%,3%,3%,2%,5%,3%,5%,4%
Other Income +,41,31,65,26,40,116,58,67,38,44,30,43,43
Interest,27,52,50,59,70,44,39,44,48,52,70,76,53
Depreciation,45,47,45,56,51,59,56,56,56,64,60,62,63
Profit before tax,196,307,403,316,357,197,92,72,17,120,16,106,105
Tax %,27%,24%,26%,17%,31%,19%,26%,29%,35%,21%,34%,26%,24%
Net Profit +,143,234,300,262,245,160,68,51,11,95,11,79,80
EPS in Rs,2.59,4.24,5.43,4.75,4.44,2.89,1.23,0.92,0.20,1.73,0.20,1.43,1.45
Raw PDF,,,,,,,,,,,,,
