,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,249.52,342.35,500.19,410.43,327.75,583.22,631.61,498.59,386.13,679.60,746.10,549.71,331.80
Expenses +,259.43,339.94,483.29,404.84,311.85,539.97,584.90,459.39,364.33,608.40,665.12,504.91,313.47
Operating Profit,-9.91,2.41,16.90,5.59,15.90,43.25,46.71,39.20,21.80,71.20,80.98,44.80,18.33
OPM %,-3.97%,0.70%,3.38%,1.36%,4.85%,7.42%,7.40%,7.86%,5.65%,10.48%,10.85%,8.15%,5.52%
Other Income +,0.61,0.90,0.47,0.41,0.60,1.64,2.20,0.22,0.97,2.02,1.16,1.55,1.63
Interest,5.55,4.28,4.51,4.33,6.82,9.39,5.22,6.53,7.88,10.72,8.10,5.75,7.10
Depreciation,10.94,10.44,10.52,10.84,10.64,10.43,11.64,11.74,12.04,12.10,12.08,12.07,12.11
Profit before tax,-25.79,-11.41,2.34,-9.17,-0.96,25.07,32.05,21.15,2.85,50.40,61.96,28.53,0.75
Tax %,0.00%,0.09%,0.00%,0.00%,-86.46%,-6.86%,0.81%,0.28%,5.96%,-3.81%,25.13%,23.59%,29.33%
Net Profit +,-25.79,-11.42,2.34,-9.17,-0.13,26.79,31.79,21.09,2.68,52.32,46.39,21.80,0.53
EPS in Rs,-17.82,-7.89,1.62,-6.34,-0.09,18.51,21.97,14.57,1.85,36.15,32.06,15.06,0.37
Raw PDF,,,,,,,,,,,,,
