,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,106,110,114,126,136,176,180,191,207,224,240,229,231
Expenses +,93,96,99,111,119,155,152,157,168,179,192,188,194
Operating Profit,13,14,14,16,18,22,28,35,39,45,48,41,37
OPM %,12%,12%,13%,12%,13%,12%,15%,18%,19%,20%,20%,18%,16%
Other Income +,0,1,1,1,0,1,1,0,2,0,1,4,1
Interest,2,3,3,2,2,3,3,5,6,8,8,8,9
Depreciation,0,0,0,0,1,1,1,3,4,4,4,5,5
Profit before tax,11,11,12,14,15,19,23,27,31,34,37,32,24
Tax %,27%,28%,25%,26%,25%,27%,26%,26%,25%,26%,25%,26%,26%
Net Profit +,8,8,9,10,11,13,17,20,23,25,28,24,18
EPS in Rs,5.23,5.30,4.49,5.12,5.56,6.62,8.58,9.98,11.47,12.34,13.58,11.62,8.82
Raw PDF,,,,,,,,,,,,,
