,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,711,643,609,596,552,505,500,479,470,407,455,396,373
Expenses +,285,290,285,283,290,490,287,284,290,242,291,251,250
Operating Profit,426,353,324,313,262,15,213,195,180,165,164,145,123
OPM %,60%,55%,53%,52%,47%,3%,43%,41%,38%,41%,36%,37%,33%
Other Income +,5,"-2,647",5,5,15,"-1,899",3,7,4,-398,6,5,9
Interest,78,80,73,74,74,57,66,66,65,70,67,66,71
Depreciation,244,238,232,215,202,200,122,119,117,115,105,121,107
Profit before tax,109,"-2,612",24,30,-0,"-2,141",28,18,3,-417,-2,-37,-47
Tax %,26%,-22%,24%,26%,738%,-20%,26%,70%,203%,377%,0%,0%,0%
Net Profit +,80,"-2,032",18,22,-3,"-1,721",21,5,-3,"-1,990",-2,-37,-47
EPS in Rs,0.44,-10.85,0.10,0.12,-0.02,-9.34,0.11,0.03,-0.02,-10.81,-0.01,-0.20,-0.25
Raw PDF,,,,,,,,,,,,,
