,Mar 2024,Mar 2025
Sales +,"6,535","6,177"
Expenses +,"5,599","5,709"
Operating Profit,937,468
OPM %,14%,8%
Other Income +,"2,310",121
Interest,196,207
Depreciation,246,321
Profit before tax,"2,805",60
Tax %,6%,36%
Net Profit +,"2,645",38
EPS in Rs,,6.27
Dividend Payout %,0%,0%
