,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,852,"1,099","1,028","1,075","1,106","1,435","1,210","1,026",841,873,813,897,909
Expenses +,654,779,858,896,917,999,"1,057","1,033",815,832,739,686,641
Operating Profit,199,319,170,179,189,437,153,-7,26,42,75,211,268
OPM %,23%,29%,17%,17%,17%,30%,13%,-1%,3%,5%,9%,24%,29%
Other Income +,17,-126,4,50,70,96,59,12,105,81,30,131,-84
Interest,99,101,101,100,88,132,156,160,117,125,127,128,150
Depreciation,100,123,101,107,102,157,125,128,132,113,112,139,128
Profit before tax,17,-31,-28,22,69,243,-69,-284,-118,-116,-135,75,-94
Tax %,165%,189%,74%,51%,40%,22%,5%,-10%,-33%,-31%,17%,33%,6%
Net Profit +,-11,-90,-49,11,42,190,-72,-257,-79,-80,-158,50,-99
EPS in Rs,-0.40,-3.01,-1.51,0.40,0.55,5.48,-2.27,-7.37,-1.85,-2.01,-3.98,1.11,-2.01
Raw PDF,,,,,,,,,,,,,
