,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,587,620,652,636,701,716,752,766,856,837,876,848,988
Expenses +,503,526,537,519,566,570,594,604,679,672,699,677,778
Operating Profit,85,94,115,117,135,146,158,161,177,165,178,171,210
OPM %,14%,15%,18%,18%,19%,20%,21%,21%,21%,20%,20%,20%,21%
Other Income +,10,7,12,12,16,19,23,19,24,26,30,27,27
Interest,2,3,5,5,6,6,7,8,9,9,9,8,8
Depreciation,25,24,24,23,24,23,22,29,34,30,31,31,28
Profit before tax,68,73,98,100,121,136,151,143,158,154,168,159,201
Tax %,26%,26%,25%,25%,25%,26%,25%,25%,26%,24%,25%,24%,25%
Net Profit +,50,55,73,75,91,101,113,108,116,117,126,121,152
EPS in Rs,11.45,12.42,16.59,17.01,20.67,23.17,25.80,24.37,27.15,26.21,28.32,27.22,33.27
Raw PDF,,,,,,,,,,,,,
