,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,012","3,031","2,719","2,755","2,796","2,313","2,424","1,853","2,086","2,281","2,747","2,579","2,667"
Expenses +,"1,511","2,291","2,225","2,294","2,326","2,032","2,138","1,570","1,648","1,817","2,253","2,093","2,187"
Operating Profit,502,740,495,461,469,281,286,282,438,464,494,486,480
OPM %,25%,24%,18%,17%,17%,12%,12%,15%,21%,20%,18%,19%,18%
Other Income +,10,11,27,31,15,20,19,11,72,12,7,13,50
Interest,39,44,43,53,55,79,107,106,112,111,103,98,101
Depreciation,53,59,56,55,69,59,81,91,102,95,100,100,109
Profit before tax,420,649,422,384,360,162,117,97,296,270,299,301,320
Tax %,33%,33%,35%,34%,29%,30%,46%,37%,22%,26%,28%,16%,13%
Net Profit +,283,436,276,252,257,114,63,61,230,200,214,253,278
EPS in Rs,23.19,35.98,21.54,19.76,20.19,8.72,4.76,4.56,17.83,15.49,16.64,19.86,21.96
Raw PDF,,,,,,,,,,,,,
