,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Revenue +,587,"1,043","1,435","1,483","1,463","1,401","2,424","2,627"
Interest,232,360,360,426,542,460,930,996
Expenses +,67,208,482,872,832,989,913,"2,336"
Financing Profit,288,475,593,185,89,-48,581,-705
Financing Margin %,49%,46%,41%,12%,6%,-3%,24%,-27%
Other Income +,0,5,34,23,17,76,110,99
Depreciation,6,7,9,8,9,11,20,22
Profit before tax,283,473,618,200,97,18,671,-629
Tax %,34%,34%,43%,27%,28%,30%,25%,
Net Profit +,188,312,352,145,70,12,501,-472
EPS in Rs,63.16,52.29,54.65,22.55,10.05,1.73,70.22,-66.22
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
