,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,401,437,492,564,578,585,576,603
Expenses +,126,154,200,242,246,244,267,367
Operating Profit,275,283,292,322,332,341,309,236
OPM %,68%,65%,59%,57%,57%,58%,54%,39%
Other Income +,4,3,5,1,5,1,5,4
Interest,164,174,184,204,209,205,214,200
Depreciation,3,4,5,5,4,3,6,5
Profit before tax,112,107,108,114,123,134,94,35
Tax %,19%,26%,24%,25%,24%,28%,22%,-10%
Net Profit +,91,79,82,86,94,96,73,38
EPS in Rs,9.85,8.59,8.45,9.94,10.45,6.05,4.69,2.34
Raw PDF,,,,,,,,
