,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,98,149,166,195,413,780
Expenses +,91,140,161,183,375,655
Operating Profit,7,9,5,12,37,125
OPM %,7%,6%,3%,6%,9%,16%
Other Income +,2,1,2,1,6,3
Interest,4,4,4,5,6,7
Depreciation,2,2,3,2,3,8
Profit before tax,3,4,0,5,34,112
Tax %,5%,9%,39%,30%,22%,26%
Net Profit +,3,3,0,4,27,83
EPS in Rs,,,,,10.86,34.11
Dividend Payout %,0%,0%,0%,0%,0%,0%
