,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,548,603,606,709,817,825,925,940
Expenses +,522,567,570,663,756,762,853,868
Operating Profit,26,36,36,46,61,64,72,72
OPM %,5%,6%,6%,6%,7%,8%,8%,8%
Other Income +,1,5,1,1,1,4,1,3
Interest,6,6,7,9,12,6,7,13
Depreciation,2,2,3,6,5,6,8,11
Profit before tax,19,32,27,32,44,57,58,51
Tax %,9%,44%,43%,23%,29%,30%,28%,35%
Net Profit +,17,18,15,24,32,40,42,33
EPS in Rs,19.00,19.94,1.16,1.83,2.37,2.53,2.66,2.12
Raw PDF,,,,,,,,
