,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,325,227,245,264,237,263,268,267,288,320,350,368,381
Expenses +,300,210,231,228,195,215,207,201,221,249,277,295,302
Operating Profit,25,18,14,36,42,48,61,66,67,71,73,72,79
OPM %,8%,8%,6%,14%,18%,18%,23%,25%,23%,22%,21%,20%,21%
Other Income +,9,5,5,3,3,2,5,1,9,2,2,3,2
Interest,7,8,8,7,6,5,8,5,5,5,5,7,7
Depreciation,27,24,16,15,15,14,15,16,21,17,18,18,17
Profit before tax,-0,-9,-5,18,24,32,43,47,50,51,52,51,56
Tax %,764%,8%,29%,6%,4%,6%,6%,5%,8%,5%,5%,7%,3%
Net Profit +,-3,-9,-6,17,23,30,41,45,46,48,49,47,54
EPS in Rs,-0.12,-0.32,-0.22,0.63,0.85,1.11,1.52,1.68,1.72,1.81,1.85,1.76,2.03
Raw PDF,,,,,,,,,,,,,
