,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,87,144,278,353,674
Expenses +,82,135,260,332,619
Operating Profit,5,9,19,21,56
OPM %,6%,6%,7%,6%,8%
Other Income +,1,1,1,2,2
Interest,3,2,3,3,7
Depreciation,1,2,2,3,6
Profit before tax,1,6,14,16,45
Tax %,20%,27%,23%,27%,27%
Net Profit +,1,4,11,12,33
EPS in Rs,0.05,0.22,0.52,0.54,1.46
Dividend Payout %,0%,9%,23%,9%,3%
