,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,161,178,131,165,160,210,183,199,221,217,244,223,217
Expenses +,147,152,119,147,146,170,161,175,185,188,212,192,191
Operating Profit,14,26,12,18,14,40,22,23,35,29,32,30,26
OPM %,9%,14%,10%,11%,9%,19%,12%,12%,16%,13%,13%,14%,12%
Other Income +,-1,-0,3,6,9,34,2,8,8,13,8,8,8
Interest,7,4,8,9,8,7,6,4,4,3,4,3,4
Depreciation,20,27,22,18,8,7,8,8,9,8,8,9,9
Profit before tax,-14,-5,-14,-3,7,59,11,20,30,30,28,26,22
Tax %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-10%,-1%,-0%,-0%
Net Profit +,-14,-7,-15,-5,8,59,9,20,29,33,29,27,21
EPS in Rs,-3.40,-1.61,-3.68,-1.32,1.86,14.49,1.85,3.90,5.80,6.50,5.79,5.37,4.10
Raw PDF,,,,,,,,,,,,,
