,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,154,175,161,136,134,157,158,158,171,179,192,198,218
Expenses +,135,153,136,117,109,131,134,127,136,144,152,152,163
Operating Profit,19,22,25,19,25,27,24,32,35,35,40,46,54
OPM %,13%,13%,16%,14%,19%,17%,15%,20%,20%,20%,21%,23%,25%
Other Income +,3,2,1,0,1,1,3,1,2,1,1,0,0
Interest,5,4,4,5,5,4,4,5,5,4,5,4,4
Depreciation,7,8,8,8,10,8,8,9,10,10,10,11,11
Profit before tax,11,12,14,7,12,16,14,19,22,22,27,32,40
Tax %,26%,24%,28%,19%,15%,19%,23%,22%,10%,20%,17%,20%,28%
Net Profit +,8,9,10,6,10,13,11,15,19,17,22,25,29
EPS in Rs,1.71,2.07,2.20,1.24,2.16,2.75,2.36,3.17,4.22,3.80,4.78,5.48,6.22
Raw PDF,,,,,,,,,,,,,
