,Mar 2021,Mar 2024,Mar 2025
Sales +,149,171,184
Expenses +,108,121,142
Operating Profit,41,50,42
OPM %,28%,29%,23%
Other Income +,0,7,20
Interest,0,2,2
Depreciation,3,3,4
Profit before tax,38,53,55
Tax %,24%,24%,25%
Net Profit +,29,40,41
EPS in Rs,1.09,1.49,1.52
Dividend Payout %,21%,0%,0%
