,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,88,84,80,84,91,85,97,100,113,102,101,85,71
Expenses +,75,66,60,61,65,59,63,70,92,65,62,55,50
Operating Profit,13,18,20,23,25,26,34,30,21,37,38,30,21
OPM %,15%,21%,25%,27%,28%,30%,35%,30%,18%,36%,38%,35%,30%
Other Income +,0,0,1,0,1,0,0,0,0,0,0,0,0
Interest,6,5,5,6,5,4,6,8,10,7,6,5,5
Depreciation,2,2,2,2,2,2,2,2,3,3,3,3,3
Profit before tax,6,10,14,15,19,19,25,20,8,27,29,22,13
Tax %,27%,27%,24%,25%,25%,25%,23%,25%,24%,25%,25%,25%,25%
Net Profit +,4,7,11,11,14,15,19,15,6,20,22,16,10
EPS in Rs,1.50,2.51,3.51,3.60,4.70,4.75,6.19,4.84,1.85,6.44,7.01,5.18,3.22
Raw PDF,,,,,,,,,,,,,
