,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,464","1,651","2,414","2,723","3,672","3,655","4,178","4,007"
Expenses +,"1,340","1,507","2,240","2,485","3,761","3,361","4,055","3,633"
Operating Profit,124,144,174,237,-89,294,123,374
OPM %,8%,9%,7%,9%,-2%,8%,3%,9%
Other Income +,6,6,26,12,7,15,8,54
Interest,23,22,20,7,17,46,51,42
Depreciation,31,38,67,70,95,113,126,147
Profit before tax,77,89,114,172,-193,150,-45,237
Tax %,51%,50%,62%,28%,30%,35%,-102%,
Net Profit +,43,61,44,123,-251,98,1,155
EPS in Rs,366.55,523.23,335.61,949.10,-35.30,6.63,-0.28,9.47
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
