,Dec 2021,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,4.54,3.39,5.93,10.22,21.31,24.48,27.96,31.39,43.72,58.86,66.75,21.24
Expenses +,3.78,2.49,4.61,6.89,14.80,16.97,18.94,21.08,29.46,38.10,43.63,15.02
Operating Profit,0.76,0.90,1.32,3.33,6.51,7.51,9.02,10.31,14.26,20.76,23.12,6.22
OPM %,16.74%,26.55%,22.26%,32.58%,30.55%,30.68%,32.26%,32.84%,32.62%,35.27%,34.64%,29.28%
Other Income +,0.01,0.00,0.12,0.10,0.12,0.40,0.49,0.68,1.07,1.40,2.22,1.99
Interest,0.02,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.00
Depreciation,0.53,0.50,0.60,1.06,1.47,1.69,2.10,2.23,2.29,1.09,1.33,1.40
Profit before tax,0.22,0.40,0.84,2.37,5.15,6.21,7.40,8.75,13.03,21.07,24.00,6.81
Tax %,27.27%,65.00%,27.38%,23.63%,25.44%,16.91%,32.43%,25.37%,23.10%,25.82%,24.38%,24.52%
Net Profit +,0.17,0.15,0.60,1.81,3.84,5.16,5.00,6.53,10.03,15.62,18.15,5.13
EPS in Rs,0.09,0.08,0.31,0.93,1.98,2.66,2.58,3.37,5.17,8.06,9.36,2.65
Raw PDF,,,,,,,,,,,,
