,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,149,167,187,187,195,210,225,219,225,223,241,232,240
Expenses +,132,148,164,162,170,182,191,186,187,187,199,195,204
Operating Profit,17,19,23,26,26,28,34,33,38,36,42,37,36
OPM %,11%,11%,13%,14%,13%,13%,15%,15%,17%,16%,18%,16%,15%
Other Income +,1,2,1,1,2,1,2,2,2,4,7,9,12
Interest,4,4,5,5,5,7,8,8,9,8,8,8,8
Depreciation,6,7,7,8,9,9,10,10,11,11,11,11,12
Profit before tax,8,11,13,13,14,13,19,16,20,22,31,27,29
Tax %,-61%,22%,31%,23%,24%,26%,28%,29%,29%,24%,28%,23%,20%
Net Profit +,13,8,9,10,11,10,14,12,14,17,22,21,23
EPS in Rs,1.00,0.63,0.68,0.78,0.79,0.72,1.00,0.85,1.04,1.22,1.62,1.50,1.67
Raw PDF,,,,,,,,,,,,,
