,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,303,"1,468","1,843","2,031"
Expenses +,256,"1,224","1,524","1,693"
Operating Profit,47,244,319,338
OPM %,16%,17%,17%,17%
Other Income +,-0,7,13,14
Interest,4,17,37,45
Depreciation,2,44,59,77
Profit before tax,41,189,236,230
Tax %,29%,25%,25%,
Net Profit +,29,142,176,170
EPS in Rs,,2.57,3.19,3.06
Dividend Payout %,0%,0%,0%,
