,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,154,147,143,183,222,254,365
Expenses +,111,107,99,130,165,200,267
Operating Profit,43,40,44,52,58,53,97
OPM %,28%,27%,31%,29%,26%,21%,27%
Other Income +,3,2,1,3,8,8,8
Interest,10,10,13,8,8,8,7
Depreciation,9,10,10,10,11,13,15
Profit before tax,27,22,23,37,47,40,84
Tax %,29%,10%,30%,26%,23%,26%,26%
Net Profit +,19,20,16,27,36,30,61
EPS in Rs,33.38,6.92,5.27,6.93,9.25,8.22,15.75
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%
