,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,384,439,396,440,580
Expenses +,287,315,293,320,422
Operating Profit,96,125,102,120,158
OPM %,25%,28%,26%,27%,27%
Other Income +,11,3,10,9,10
Interest,23,21,21,23,11
Depreciation,31,31,36,34,37
Profit before tax,53,76,55,72,119
Tax %,25%,26%,25%,25%,26%
Net Profit +,40,56,42,54,88
EPS in Rs,,,,2.59,4.24
Raw PDF,,,,,
