,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"1,257","1,622","1,530","1,323","1,431","2,054","1,360","1,133","1,741","1,870","1,386","1,160","1,476"
Expenses +,"1,310","1,467","1,497","1,406","1,343","1,829","1,338","1,189","1,630","1,701","1,358","1,159","1,500"
Operating Profit,-53,154,33,-83,88,225,22,-55,111,170,28,1,-24
OPM %,-4%,10%,2%,-6%,6%,11%,2%,-5%,6%,9%,2%,0%,-2%
Other Income +,4,13,8,7,3,5,3,30,4,4,-6,3,0
Interest,62,59,33,32,95,50,45,42,39,37,29,26,24
Depreciation,54,53,53,54,54,53,55,56,56,55,54,54,54
Profit before tax,-165,56,-45,-162,-58,127,-75,-123,20,82,-62,-76,-102
Tax %,0%,-7%,0%,0%,0%,-3%,-0%,-0%,-0%,-10%,9%,-0%,-0%
Net Profit +,-165,60,-45,-162,-58,131,-75,-123,20,91,-67,-76,-102
EPS in Rs,-1.29,0.47,-0.35,-1.27,-0.46,1.02,-0.58,-0.96,0.16,0.71,-0.52,-0.59,-0.80
Raw PDF,,,,,,,,,,,,,
