,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,440,595,516,599,569,702,642,746,630,681,867,706,761
Expenses +,415,565,498,575,541,668,621,719,599,646,824,664,721
Operating Profit,25,30,18,24,28,34,21,27,32,35,43,42,40
OPM %,6%,5%,3%,4%,5%,5%,3%,4%,5%,5%,5%,6%,5%
Other Income +,0,1,1,-6,1,0,0,1,0,-0,1,1,0
Interest,9,12,10,10,8,8,8,10,9,14,14,14,9
Depreciation,2,2,2,2,4,5,3,3,4,6,5,5,6
Profit before tax,14,16,6,6,17,21,11,14,19,15,24,24,26
Tax %,27%,29%,26%,24%,25%,23%,26%,25%,25%,25%,25%,26%,25%
Net Profit +,10,11,4,4,13,16,8,11,14,11,18,18,19
EPS in Rs,0.83,0.91,0.37,0.35,1.06,1.24,0.61,0.80,1.05,0.74,1.14,1.03,0.94
Raw PDF,,,,,,,,,,,,,
