,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,807","1,411","1,194","1,189","1,147",996,988,888,"1,051","1,145",993,"1,058","1,151"
Expenses +,"1,460","1,217","1,096","1,110","1,049","1,031",942,895,"1,030","1,021",967,"1,026","1,114"
Operating Profit,346,194,98,78,97,-35,46,-7,21,124,26,32,37
OPM %,19%,14%,8%,7%,8%,-3%,5%,-1%,2%,11%,3%,3%,3%
Other Income +,9,-65,17,17,31,18,37,13,13,12,11,11,14
Interest,35,36,40,39,38,44,39,47,51,59,57,59,62
Depreciation,40,41,33,35,33,32,35,38,46,45,45,47,62
Profit before tax,280,53,42,21,56,-93,9,-78,-63,32,-65,-63,-73
Tax %,17%,23%,8%,-32%,18%,-31%,-182%,14%,-51%,26%,-52%,-22%,-26%
Net Profit +,232,41,39,27,46,-64,26,-89,-31,24,-31,-49,-54
EPS in Rs,14.65,2.57,2.44,1.72,2.91,-4.05,1.65,-5.65,-1.97,1.51,-1.98,-3.09,-3.43
Raw PDF,,,,,,,,,,,,,
