,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,302,330,343,342,343,341,361,354,352
Expenses +,217,230,249,247,246,244,256,253,250
Operating Profit,86,100,94,95,97,98,105,101,102
OPM %,28%,30%,27%,28%,28%,29%,29%,29%,29%
Other Income +,2,3,1,3,7,8,13,7,10
Interest,5,3,4,4,1,1,2,2,2
Depreciation,14,15,16,17,16,18,20,19,20
Profit before tax,68,85,74,78,87,86,97,87,90
Tax %,25%,25%,25%,25%,25%,26%,27%,26%,24%
Net Profit +,51,64,55,58,66,64,71,65,68
EPS in Rs,5.66,7.16,6.17,6.15,6.98,6.77,7.58,6.85,7.18
Raw PDF,,,,,,,,,
