,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,779","1,953","1,702","1,720","1,792","2,296","1,788","1,846","2,020","2,516","2,166","2,385","2,541"
Expenses +,"1,551","1,664","1,550","1,540","1,629","1,680","1,578","1,653","1,803","1,964","1,948","2,117","2,207"
Operating Profit,228,289,152,180,163,616,211,194,217,552,218,268,335
OPM %,13%,15%,9%,10%,9%,27%,12%,10%,11%,22%,10%,11%,13%
Other Income +,115,10,107,65,11,5,35,18,8,8,16,18,67
Interest,120,128,140,139,145,152,152,151,172,169,177,190,200
Depreciation,80,75,77,79,74,72,76,77,78,83,89,95,103
Profit before tax,143,96,42,27,-45,398,19,-16,-24,308,-33,1,98
Tax %,43%,27%,76%,128%,191%,9%,181%,256%,293%,12%,118%,"4,284%",87%
Net Profit +,81,71,10,-7,-132,362,-15,-55,-95,270,-73,-46,12
EPS in Rs,21.66,0.06,-0.19,-9.91,-41.69,51.84,-11.72,-20.70,-30.16,30.80,-23.53,-18.13,-3.96
Raw PDF,,,,,,,,,,,,,
