,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,284,218,313,304,267,270,376,396,460,513,723,769,998
Expenses +,279,208,305,299,255,258,357,381,442,488,686,730,941
Operating Profit,6,9,8,4,12,12,19,15,18,25,37,39,57
OPM %,2%,4%,3%,1%,5%,4%,5%,4%,4%,5%,5%,5%,6%
Other Income +,1,-2,0,0,0,0,1,1,0,2,1,20,7
Interest,2,2,2,2,3,4,4,5,5,7,8,10,12
Depreciation,0,0,0,0,0,0,1,1,2,2,2,2,3
Profit before tax,5,5,6,2,9,8,14,10,12,18,28,46,49
Tax %,34%,19%,17%,54%,28%,23%,25%,25%,25%,25%,25%,20%,26%
Net Profit +,3,4,5,1,6,6,11,7,9,14,21,37,37
EPS in Rs,0.29,0.36,0.49,0.08,0.59,0.57,0.99,0.68,0.68,1.03,1.60,2.69,2.49
Raw PDF,,,,,,,,,,,,,
