,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,942,902,879,820,843,654,"1,367","1,174","1,702","1,078","1,072","1,464","1,460"
Expenses +,737,670,663,612,641,479,"1,042",912,"1,270",785,780,"1,050","1,044"
Operating Profit,205,233,216,208,202,175,325,262,433,293,292,414,416
OPM %,22%,26%,25%,25%,24%,27%,24%,22%,25%,27%,27%,28%,28%
Other Income +,3,32,51,38,47,31,41,34,60,36,66,66,72
Interest,109,106,110,118,100,108,110,135,138,152,123,114,107
Depreciation,91,75,78,78,83,68,76,82,76,68,69,76,76
Profit before tax,8,83,80,50,65,30,180,79,279,108,166,289,306
Tax %,255%,22%,35%,14%,3%,27%,38%,30%,24%,26%,31%,18%,18%
Net Profit +,-12,65,52,43,63,22,112,56,211,81,115,236,249
EPS in Rs,1.41,3.81,3.36,2.47,3.00,1.67,5.78,3.18,8.92,3.62,4.87,9.67,10.10
Raw PDF,,,,,,,,,,,,,
