,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,363,332,318,358,368,359,354,403,394,317
Expenses +,305,288,270,312,332,320,313,356,378,315
Operating Profit,58,44,49,46,35,39,41,47,16,2
OPM %,16%,13%,15%,13%,10%,11%,12%,12%,4%,1%
Other Income +,2,1,0,1,1,1,2,1,1,-45
Interest,3,2,2,2,1,1,2,1,0,1
Depreciation,10,10,8,9,9,9,8,8,9,8
Profit before tax,48,33,39,36,27,30,33,39,8,-52
Tax %,31%,18%,27%,25%,33%,14%,26%,26%,29%,-24%
Net Profit +,33,27,28,27,18,26,24,29,5,-40
EPS in Rs,29.22,2.19,2.28,2.18,1.44,2.10,1.95,2.32,0.43,-3.17
Raw PDF,,,,,,,,,,
